review_id,text_norm,category,product_name,absa_labels
16782,pelayanan cepat barang bagus bagus seller,elektronik,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick,"[
{""aspect"": ""Pelayanan Penjual"", ""opinion_span"": ""pelayanan cepat"", ""sentiment"": ""pos"", ""sent_id"": 0},
{""aspect"": ""Kualitas Barang"", ""opinion_span"": ""barang bagus"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
22891,mantap bos pengiriman juga cepat,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,"[
{""aspect"": ""Pengiriman"", ""opinion_span"": ""pengiriman juga cepat"", ""sentiment"": ""pos"", ""sent_id"": 0},
{""aspect"": ""Lainnya"", ""opinion_span"": ""mantap bos"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
19304,oke terima kasih kasih keyboardnya susah diterima 39,elektronik,Keyboard Toshiba Satellite C600 C600D C605 C635 C640 C640D Hitam,"[
{""aspect"": ""Lainnya"", ""opinion_span"": ""oke terima kasih"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
11212,tidak iklan kartu garansi kaca dari barang resmi ini original apa kw jam nya sangat kecil jauh dari perkiraan ini mah jam nya anak2,fashion,Jam Tangan Casio LTP-1275SG-7B,"[
{""aspect"": ""Kualitas Barang"", ""opinion_span"": ""kaca dari barang resmi ini original apa kw"", ""sentiment"": ""neg"", ""sent_id"": 0},
{""aspect"": ""Sesuai Deskripsi"", ""opinion_span"": ""jam nya sangat kecil jauh dari perkiraan"", ""sentiment"": ""neg"", ""sent_id"": 0}
]"
18415,barang dh sampai terima kasih semoga barang awet,elektronik,Speaker komputer/speaker laptop/speaker aktif/Speaker pc/speaker murah,"[
{""aspect"": ""Pengiriman"", ""opinion_span"": ""barang dh sampai"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
7355,terima kasih kasih gan sudah sampai barang g̣ dan,handphone,Silikon Case Samsung Galaxy Note 3 N9000 Hitam Free Screen Guard,"[
{""aspect"": ""Pengiriman"", ""opinion_span"": ""sudah sampai"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
16491,barang sesuai dengan gambar kondisi baru respon cepat pengiriman cepat,elektronik,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick,"[
{""aspect"": ""Sesuai Deskripsi"", ""opinion_span"": ""barang sesuai dengan gambar"", ""sentiment"": ""pos"", ""sent_id"": 0},
{""aspect"": ""Kualitas Barang"", ""opinion_span"": ""kondisi baru"", ""sentiment"": ""pos"", ""sent_id"": 0},
{""aspect"": ""Pelayanan Penjual"", ""opinion_span"": ""respon cepat"", ""sentiment"": ""pos"", ""sent_id"": 0},
{""aspect"": ""Pengiriman"", ""opinion_span"": ""pengiriman cepat"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
16414,terima kasih gan cepat respon barang bagus mantap lah,elektronik,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick,"[
{""aspect"": ""Pelayanan Penjual"", ""opinion_span"": ""cepat respon"", ""sentiment"": ""pos"", ""sent_id"": 0},
{""aspect"": ""Kualitas Barang"", ""opinion_span"": ""barang bagus mantap"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
27394,oke barang oke banget,olahraga,Glove Baseball / Softball,"[
{""aspect"": ""Kualitas Barang"", ""opinion_span"": ""barang oke banget"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
25227,barang bagus oke mantap juang,olahraga,Boxing Glove / Sarung Tinju Champion Bahan PU 12 oz,"[
{""aspect"": ""Kualitas Barang"", ""opinion_span"": ""barang bagus oke mantap"", ""sentiment"": ""pos"", ""sent_id"": 0}
]"
